6.16, L
7.01, L
7.84, R
8.63, R
9.40, LR
12.62, L
13.40, R
14.23, L
15.03, R
15.76, LR
17.38, LR
19.02, L
19.76, LR
20.63, R
21.38, LR
23.85, L
24.59, R
25.44, L
26.17, R
26.99, LR
28.59, LR
30.20, LR
31.74, LR
33.43, L
34.20, L
35.00, R
35.79, R
36.59, L
37.40, R
38.22, L
38.64, R
39.04, L
39.46, R
39.83, LR
42.99, L
43.75, L
44.64, R
45.38, R
46.20, LR
47.77, LR
49.42, L
50.97, R
52.58, LR
54.20, L
54.99, L
55.83, R
56.64, R
57.48, L
58.24, R
59.01, L
59.88, R
60.62, LR
62.21, LR
63.79, LR
65.39, L
66.23, L
67.07, L
67.82, L
68.62, R
69.44, R
70.23, R
70.98, R
71.79, LR
73.40, LR
74.98, LR
76.60, LR
77.39, LR
78.17, LR
79.73, LR
83.01, L
83.78, L
84.60, R
85.38, R
86.20, L
86.99, R
87.83, L
88.59, R
89.40, LR
